subject,num_receivers,email_length,email_domain,sent_time,is_forwarded,label
,1,16,enron.com,"Mon, 23 Oct 2000 06:13:00 -0700 (PDT)",0,1.0
Re: Hello,1,3,enron.com,"Thu, 31 Aug 2000 05:07:00 -0700 (PDT)",0,1.0
Re: Hello,1,6,enron.com,"Thu, 31 Aug 2000 04:17:00 -0700 (PDT)",0,1.0
,2,24,enron.com,"Tue, 22 Aug 2000 07:44:00 -0700 (PDT)",0,1.0
Re: PRC review - phone calls,1,2,enron.com,"Fri, 14 Jul 2000 06:59:00 -0700 (PDT)",0,1.0
Re: High Speed Internet Access,1,18,enron.com,"Tue, 17 Oct 2000 02:26:00 -0700 (PDT)",0,1.0
FW: fixed forward or other Collar floor gas price terms,1,200,enron.com,"Mon, 16 Oct 2000 06:44:00 -0700 (PDT)",1,1.0
Re: FW: fixed forward or other Collar floor gas price terms,1,21,enron.com,"Mon, 16 Oct 2000 06:42:00 -0700 (PDT)",1,1.0
,1,25,enron.com,"Fri, 13 Oct 2000 06:45:00 -0700 (PDT)",0,1.0
Consolidated positions: Issues & To Do list,1,510,enron.com,"Mon, 9 Oct 2000 07:16:00 -0700 (PDT)",0,1.0
Consolidated positions: Issues & To Do list,1,510,enron.com,"Mon, 9 Oct 2000 07:00:00 -0700 (PDT)",0,1.0
,1,10,enron.com,"Thu, 5 Oct 2000 06:26:00 -0700 (PDT)",0,1.0
Re: 2001 Margin Plan,1,5,enron.com,"Thu, 5 Oct 2000 05:55:00 -0700 (PDT)",0,1.0
"Var, Reporting and Resources Meeting",1,67,enron.com,"Wed, 4 Oct 2000 09:23:00 -0700 (PDT)",0,1.0
,1,15,enron.com,"Fri, 4 May 2001 11:26:00 -0700 (PDT)",0,1.0
Westgate,1,137,enron.com,"Tue, 3 Oct 2000 09:30:00 -0700 (PDT)",0,1.0
Meeting re: Storage Strategies in the West,1,48,enron.com,"Tue, 3 Oct 2000 09:15:00 -0700 (PDT)",0,1.0
,1,14,enron.com,"Tue, 3 Oct 2000 09:13:00 -0700 (PDT)",0,0.0
Re: Not business related..,1,5,enron.com,"Tue, 3 Oct 2000 03:17:00 -0700 (PDT)",0,0.0
Re: Original Sept check/closing,1,13,enron.com,"Mon, 2 Oct 2000 02:19:00 -0700 (PDT)",0,1.0
San Juan Index,1,195,enron.com,"Thu, 28 Sep 2000 06:17:00 -0700 (PDT)",0,1.0
San Juan Index,1,189,enron.com,"Thu, 28 Sep 2000 05:56:00 -0700 (PDT)",0,1.0
Investment Structure,1,745,enron.com,"Tue, 26 Sep 2000 09:28:00 -0700 (PDT)",0,0.0
Investment Structure,1,745,enron.com,"Tue, 26 Sep 2000 09:26:00 -0700 (PDT)",0,0.0
,1,396,enron.com,"Tue, 26 Sep 2000 07:01:00 -0700 (PDT)",0,1.0
,1,39,enron.com,"Thu, 3 May 2001 15:57:00 -0700 (PDT)",0,1.0
Re: Gas Trading Vision meeting,1,6,enron.com,"Tue, 26 Sep 2000 05:11:00 -0700 (PDT)",0,1.0
,1,43,enron.com,"Tue, 26 Sep 2000 05:08:00 -0700 (PDT)",0,1.0
Gas Physical/Financial Position,1,37,enron.com,"Tue, 26 Sep 2000 05:07:00 -0700 (PDT)",0,1.0
closing,1,128,enron.com,"Tue, 26 Sep 2000 04:57:00 -0700 (PDT)",0,1.0
